Pair,Bait,Prey,BaitID,PreyID,HM,HM,HM,Und,Und,Und,Fuc,Fuc,Fuc,Sia,Sia,Sia,SiaFuc,SiaFuc,SiaFuc
EGFR_CD44,EGFR,CD44,P00533,P16070,100,100,100,71.53,73.37,67.53,73.64,77.5,56.93,67.94,62.7,54.02,27.43,19.45,25.49
CD44_CD58,CD44,CD58,P16070,P19256,100,100,100,109.86,111.15,101.05,85.14,80.71,84.79,72.35,83.89,74.03,114.18,127.52,108.99
BSG_CDCP1,BSG,CDCP1,P35613,Q9H5V8,100,100,100,44.84,36.96,42.53,55.59,53.38,36.59,36.67,25.39,25.91,21.09,20.01,15.33
CD44_CDCP1,CD44,CDCP1,P16070,Q9H5V8,100,100,100,113.6,79.14,94.01,92.95,78.25,84.26,62.17,44.5,68.02,107.23,76.28,114.24
EGFR_CDCP1,EGFR,CDCP1,P00533,Q9H5V8,100,100,100,71.03,52.66,58.34,49.61,39.29,34.98,73.55,88.66,63.11,35.22,44.72,33.88
SLC3A2_CDCP1,SLC3A2,CDCP1,P08195,Q9H5V8,100,100,100,187.4,157.04,189.67,104.12,81.35,93.35,137.76,134.59,143.31,135.39,90.86,90.83
EGFR_COG3,EGFR,COG3,P00533,Q96JB2,100,100,100,87.87,76.42,73.78,47.36,34.99,34.99,35.96,29.82,26.49,20.6,33,30.54
SLC3A2_COG3,SLC3A2,COG3,P08195,Q96JB2,100,100,100,125.65,124.39,101.74,158.22,128.13,102.96,106.62,70.15,78.72,203.34,166.06,148.49
BSG_COPB1,BSG,COPB1,P35613,P53618,100,100,100,48.27,39.1,41.07,75.66,61.46,56.27,60.33,40.57,65.66,48.51,45.91,44.68
EGFR_COPB1,EGFR,COPB1,P00533,P53618,100,100,100,129.05,91.12,94.81,68.17,58.32,55.79,45.66,47.79,33.74,36.65,50.34,43.33
BSG_CPNE1,BSG,CPNE1,P35613,Q99829,100,100,100,83.3,75.31,67.26,133.92,110.42,115.85,79.68,66.66,62.06,87.71,70.63,62.22
BSG_CPT1A,BSG,CPT1A,P35613,P50416,100,100,100,151.26,150.67,154.61,124.23,82.52,106.24,110.91,114.49,87.97,86.65,67.6,70.87
EGFR_CPT1A,EGFR,CPT1A,P00533,P50416,100,100,100,95.57,103.73,90.55,83.62,71.5,80.04,122.65,118.74,105.33,109.87,112.99,102.51
BSG_CSE1L,BSG,CSE1L,P35613,P55060,100,100,100,111.99,94.97,74.65,110.89,103.01,91.62,67.97,52.1,73.57,61.65,43.87,52.3
EGFR_CSTA,EGFR,CSTA,P00533,P01040,100,100,100,169.97,175.62,149.73,129.32,145.96,111.96,155.62,166.51,173.69,191.44,190.19,192.14
BSG_DDOST,BSG,DDOST,P35613,P39656,100,100,100,47.7,40.87,45.27,61.78,49.97,59.02,79.66,84.62,68.76,65.92,71.09,50.93
EGFR_DDOST,EGFR,DDOST,P00533,P39656,100,100,100,98.41,91.48,70.01,58.82,53.98,55.18,89.34,96.88,83.22,59.26,43.16,64.09
EGFR_EBP,EGFR,EBP,P00533,Q15125,100,100,100,80.4,69.12,54.19,62.5,60.79,48.73,42.56,41.48,46.19,43.77,40.61,45.1
BSG_EGFR,BSG,EGFR,P35613,P00533,100,100,100,56.9,57.51,45.99,86.26,68.93,72.68,176.46,127,185.08,235.16,172.98,215.86
BSG_EHD4,BSG,EHD4,P35613,Q9H223,100,100,100,63.86,68.32,65.96,52.41,38.41,43.53,85.97,85.44,90.36,44.43,32.89,45.69
CD44_EHD4,CD44,EHD4,P16070,Q9H223,100,100,100,64.2,62.01,55.05,106.57,107.5,114.36,50.46,54.47,46.76,51.74,43.45,53.85
EGFR_EHD4,EGFR,EHD4,P00533,Q9H223,100,100,100,89.73,67.61,85.63,82.6,55.55,59.96,78.17,55.09,72.44,71.04,68.94,66.23
SLC3A2_EHD4,SLC3A2,EHD4,P08195,Q9H223,100,100,100,107.45,99.56,78.89,97.05,102.62,93.09,189.02,235.52,197.76,175.4,126.75,182.04
BSG_EPCAM,BSG,EPCAM,P35613,P16422,100,100,100,79.86,76.89,56.78,75.12,80.44,56.28,136.1,97.35,127.82,138.39,145.88,136.21
EGFR_EPCAM,EGFR,EPCAM,P00533,P16422,100,100,100,152.04,108.65,162.47,81.69,57.85,54.78,74.87,52.03,64.81,92.32,82.98,92.25
SLC3A2_EPCAM,SLC3A2,EPCAM,P08195,P16422,100,100,100,151.86,144.35,147.12,91.14,98.72,99.93,63.73,63.72,66.68,79.61,65.17,70.54
CD44_EPCAM,CD44,EPCAM,P16070,P16422,100,100,100,135.88,127.48,135.5,86.35,91.77,78.63,86.28,65.7,81.85,63.27,53.28,60.4
BSG_ESYT2,BSG,ESYT2,P35613,A0FGR8,100,100,100,91.88,100.53,94.27,79.36,54.46,60.56,75.87,61.37,71.97,76.82,69.11,78.59
BSG_GLG1,BSG,GLG1,P35613,Q92896,100,100,100,46.93,43.19,36.92,81.73,57.01,85.58,87.9,73.67,85.65,61.2,53.83,57.12
EGFR_GLG1,EGFR,GLG1,P00533,Q92896,100,100,100,66,56.16,62.05,62.66,42.1,42.78,117.86,122,94.56,121.53,117.47,114.46
CD44_GLG1,CD44,GLG1,P16070,Q92896,100,100,100,45.54,42.7,43.05,50.23,46.33,53.28,21.53,17.56,16.69,57.32,39.83,53.29
EGFR_GNA11,EGFR,GNA11,P00533,P29992,100,100,100,92.21,92.28,66.47,82.44,83.59,84.87,50.12,67.7,57.38,55.47,78.24,66.55
BSG_GOLM2,BSG,GOLM2,P35613,Q6P4E1,100,100,100,84.54,107.91,95.98,121.7,105.87,119.63,57.05,68.4,42.02,56.74,67.62,40.38
EGFR_HAX1,EGFR,HAX1,P00533,O00165,100,100,100,58.42,55.01,64.11,72.08,77.86,55.48,39.09,27.39,39.21,62.59,57.61,65.42
BSG_HAX1,BSG,HAX1,P35613,O00165,100,100,100,99.64,106.95,111.09,107.64,98.93,103.43,112.92,108.14,83.31,103.27,97.01,85.89
BSG_HM13,BSG,HM13,P35613,Q8TCT9,100,100,100,61.48,53.82,52.8,63.06,43.47,62.68,64.29,51.6,62.54,39.95,27.16,27.34
EGFR_HM13,EGFR,HM13,P00533,Q8TCT9,100,100,100,150.64,143,134.13,59.47,46.69,40.73,47.96,32.57,48.91,80.09,66.3,67.77
EGFR_HSPB1,EGFR,HSPB1,P00533,P04792,100,100,100,56.75,41.04,54.17,57.99,42.83,46.7,75.88,51.05,69.67,60.63,52.22,62.92
BSG_ILVBL,BSG,ILVBL,P35613,A1L0T0,100,100,100,50.4,46.17,38.48,46.36,33.45,40.96,45.27,32.88,40.83,56.37,47.39,42.1
CD44_ITGA6,CD44,ITGA6,P16070,P23229,100,100,100,64.01,72.94,54.63,51.09,78.11,61.48,125.92,128.33,103.44,105.98,114.57,96.37
BSG_ITGB1,BSG,ITGB1,P35613,P05556,100,100,100,49.66,35.37,41.07,36.97,26.71,29.13,56.07,55.73,42.81,47.72,39.16,40.95
CD44_ITGB1,CD44,ITGB1,P16070,P05556,100,100,100,109.41,85.82,111.35,68.57,48.51,69.63,48.87,51.08,44.25,46.92,54.42,59.29
EGFR_ITGB1,EGFR,ITGB1,P00533,P05556,100,100,100,85.99,67.36,77.77,37.71,30.98,40.05,81.47,64.47,53.48,76.21,75.67,58.04
SLC3A2_ITGB1,SLC3A2,ITGB1,P08195,P05556,100,100,100,64.09,78.74,61.04,65.54,75.34,61.78,71.42,79.68,50.58,71.16,84.73,79.2
BSG_LAMP1,BSG,LAMP1,P35613,P11279,100,100,100,56.48,44.31,53.76,60.82,43.81,58.08,75.03,64.83,59.27,53.45,45.46,44.66
CD44_LAMP1,CD44,LAMP1,P16070,P11279,100,100,100,92.65,93.78,76.56,55.46,51.36,51.72,58.79,52.9,39.12,69.94,50.58,48.1
EGFR_LAMP1,EGFR,LAMP1,P00533,P11279,100,100,100,98.63,111.08,105.22,82.53,96.36,85.04,89.54,96.59,95.14,84.13,101.84,95.01
SLC3A2_LAMP1,SLC3A2,LAMP1,P08195,P11279,100,100,100,122.03,105.81,79.43,96.41,91.14,93.77,97.07,96.28,89.42,136.41,129.23,119.62
BSG_LGALS3,BSG,LGALS3,P35613,P17931,100,100,100,259.69,238.9,265.91,200.02,197.83,173.63,192.89,180.78,196.95,201.17,216.85,183.7
BSG_LPCAT1,BSG,LPCAT1,P35613,Q8NF37,100,100,100,109.25,98.03,89.03,86.45,87.86,93.77,103.24,89.34,94,100.62,104.74,86.14
EGFR_MAP2K2,EGFR,MAP2K2,P00533,P36507,100,100,100,125.49,83.9,112.01,50.14,42.31,39.77,40.86,30.91,33.97,59.99,58.5,55.72
BSG_NAMPT,BSG,NAMPT,P35613,P43490,100,100,100,102.21,110.6,88.05,72.85,52.53,77.18,120.83,112.39,94.73,71.58,72.17,74.26
EGFR_NAMPT,EGFR,NAMPT,P00533,P43490,100,100,100,156.71,142.86,166.15,40.94,51.46,41.44,89.83,70.22,64.54,80.78,75.38,66.08
BSG_NDUFS1,BSG,NDUFS1,P35613,P28331,100,100,100,88.67,64.44,60.59,57.19,41.01,60.37,47.07,32.24,34.27,83.48,89.79,65.6
CD44_NDUFS1,CD44,NDUFS1,P16070,P28331,100,100,100,175.58,142.55,162.47,108.22,111.05,75.29,47.16,41.24,47.37,79.32,80.19,71.89
EGFR_NDUFS1,EGFR,NDUFS1,P00533,P28331,100,100,100,281.28,186.12,291.47,171.44,165.91,148.18,113.31,130.16,114.15,158.93,134.83,124.38
BSG_PFKP,BSG,PFKP,P35613,Q01813,100,100,100,64.04,48.37,52.2,58.28,59.73,49.45,71.55,48.52,68.08,58.98,41.9,48.7
CD44_PFKP,CD44,PFKP,P16070,Q01813,100,100,100,130.47,135.71,109.29,73.02,59.33,70.17,77.69,72.34,68.54,74.45,62,71.32
EGFR_PFKP,EGFR,PFKP,P00533,Q01813,100,100,100,138.86,106.37,123.83,61.98,60.07,47.66,82.89,87.62,56.58,65.31,63.05,71.68
EGFR_PGRMC1,EGFR,PGRMC1,P00533,O00264,100,100,100,124.86,121.4,112.31,73.04,71.27,62.38,86.71,95.35,61.64,145.29,114.68,127.98
EGFR_PHB1,EGFR,PHB1,P00533,P35232,100,100,100,144.67,94.49,107.17,86.54,59.94,93.37,66.78,61.37,44.71,99.42,76.52,75.31
SLC3A2_PHB1,SLC3A2,PHB1,P08195,P35232,100,100,100,65.83,51.87,47.08,27.3,29.66,29.88,53.64,52.55,55.77,35.15,35.12,27.03
BSG_PHB1,BSG,PHB1,P35613,P35232,100,100,100,106.48,72.76,113,82.43,98.16,73.85,83,91.32,79.93,115.39,105.52,99.22
CD44_PLAUR,CD44,PLAUR,P16070,Q03405,100,100,100,116.83,85.1,76.79,119.6,133.21,113.06,109.65,114.72,123.98,124.61,133.92,116.04
CD44_PTK7,CD44,PTK7,P16070,Q13308,100,100,100,54.43,46.43,55.35,56.51,42.3,51.42,37.33,36.82,31.53,49.84,47.74,45.41
CD44_RAP2C,CD44,RAP2C,P16070,Q9Y3L5,100,100,100,62.44,59.51,66.17,123.6,129.47,107.72,58.08,60.89,53.91,52.15,65.06,56.22
CD44_S100A8,CD44,S100A8,P16070,P05109,100,100,100,121.3,139.88,115.38,106.16,97.78,81.15,65.64,59.09,53.4,113.54,77.6,120.75
EGFR_S100A9,EGFR,S100A9,P00533,P06702,100,100,100,141.88,145.77,130.14,79.09,59.96,62.18,72.53,74.27,78.6,155.41,132.28,143.55
CD44_S100A9,CD44,S100A9,P16070,P06702,100,100,100,169.17,159.7,127.59,137.79,102.31,96.75,70.87,63.2,52.27,102.71,97.9,96.43
BSG_SACM1L,BSG,SACM1L,P35613,Q9NTJ5,100,100,100,26.15,20.75,25.76,178.56,167.96,140.56,19.79,20.08,19.07,31.2,22.97,25.79
BSG_SAMHD1,BSG,SAMHD1,P35613,Q9Y3Z3,100,100,100,72.82,71.16,61.84,89.12,106.05,93.46,90.87,99.92,80.79,76.79,96.93,85.28
EGFR_SAMHD1,EGFR,SAMHD1,P00533,Q9Y3Z3,100,100,100,130.97,100.83,141.75,119.43,85.31,125.62,105.22,77.1,112.86,106.97,98.42,83.77
EGFR_SLC12A2,EGFR,SLC12A2,P00533,P55011,100,100,100,64.52,58.04,56.29,49.5,45.88,41.39,41.07,31.26,36.69,37.08,38.03,26.81
BSG_SLC16A3,BSG,SLC16A3,P35613,O15427,100,100,100,58.74,43.33,44.65,41.43,39.14,44.6,40.91,27.67,43.44,44.99,41.73,39.7
CD44_SLC16A3,CD44,SLC16A3,P16070,O15427,100,100,100,104.86,78.14,80.57,92.91,93.27,86.85,135.59,108.88,117.77,108.78,114.17,104.17
SLC3A2_SLC16A3,SLC3A2,SLC16A3,P08195,O15427,100,100,100,87.12,88.65,71.2,144.38,149.07,100.84,133.99,144.38,92.87,148.85,141.75,103.86
BSG_SLC25A11,BSG,SLC25A11,P35613,Q02978,100,100,100,43.82,33.3,40.73,79.79,63.75,54.48,55.23,46.67,48.2,65.02,59.73,59.9
EGFR_SLC25A11,EGFR,SLC25A11,P00533,Q02978,100,100,100,120.3,92.54,131.59,44.67,44.15,33.12,48.82,45.66,52.26,77.91,58.15,57.52
BSG_SLC25A3,BSG,SLC25A3,P35613,Q00325,100,100,100,53.82,35.81,48.88,63.25,68.33,42.75,57.12,60.91,47,54.36,63.64,52.83
EGFR_SLC25A3,EGFR,SLC25A3,P00533,Q00325,100,100,100,122.66,80.4,113.37,66.61,50.81,45.45,68.39,75.07,64.12,69.18,56.17,58.13
BSG_SLC25A4,BSG,SLC25A4,P35613,P12235,100,100,100,78.91,74.79,69.85,48.52,42.02,50.52,47.73,51.18,37.03,59.99,62.49,46.05
EGFR_SLC25A4,EGFR,SLC25A4,P00533,P12235,100,100,100,105.73,112.7,78.31,68.31,47.57,64.1,60.74,41.49,55.18,70.86,83.61,80.84
SLC3A2_SLC25A4,SLC3A2,SLC25A4,P08195,P12235,100,100,100,133.93,143.09,134.47,104.36,86.94,99.43,106.33,92.56,81.01,89.37,86.08,58.27
BSG_SLC25A5,BSG,SLC25A5,P35613,P05141,100,100,100,62.57,50.91,41.64,77.75,64.82,67.43,60.34,44.74,60.73,61.27,55.61,51.99
EGFR_SLC25A5,EGFR,SLC25A5,P00533,P05141,100,100,100,114.12,84.84,111.6,92.28,65.9,76.14,107.24,100.95,100.91,72.97,63.53,65.07
SLC3A2_SLC25A5,SLC3A2,SLC25A5,P08195,P05141,100,100,100,93.9,109.74,92.38,94.76,104.87,86.4,102.12,105.55,98.23,98.01,105.07,91.52
BSG_SLC26A6,BSG,SLC26A6,P35613,Q9BXS9,100,100,100,101.61,90.74,111.71,78.92,78.77,60.87,76.89,73.95,64.2,53.41,41.2,45.47
EGFR_SLC26A6,EGFR,SLC26A6,P00533,Q9BXS9,100,100,100,114.99,85.17,115.68,78.06,58.14,64.22,46.7,42.26,30.75,86.46,76.93,64.2
BSG_SLC27A4,BSG,SLC27A4,P35613,Q6P1M0,100,100,100,16.24,13.66,10.57,37.57,37.69,28.47,23.1,15.44,15.49,18.79,25.99,17.22
CD44_SLC39A3,CD44,SLC39A3,P16070,Q9BRY0,100,100,100,116.81,80.46,81.61,105.33,71.07,95.45,194.8,171.04,166.23,193.61,168.22,212.57
BSG_SLC3A2,BSG,SLC3A2,P35613,P08195,100,100,100,74.07,63.27,59.63,84.52,61.61,83.69,65.34,52.11,69.17,64.98,49.05,57.56
BSG_SLC7A1,BSG,SLC7A1,P35613,P30825,100,100,100,46.86,42.92,46.36,69.22,91.88,78.76,70.99,87.67,61.2,129.07,140.57,118.65
EGFR_SLC7A1,EGFR,SLC7A1,P00533,P30825,100,100,100,118.3,116,109.76,52.71,49.64,36.05,52.52,43.01,49.11,64.49,56.85,59.25
BSG_SLC7A5,BSG,SLC7A5,P35613,Q01650,100,100,100,126.45,133.25,119.63,94.87,62.16,94.58,131.88,127.17,88.11,157.4,102.6,118.88
EGFR_SLC7A5,EGFR,SLC7A5,P00533,Q01650,100,100,100,114.9,84.93,118.41,126.35,89.76,95.62,91.78,88.49,76.07,112.13,85.61,109.82
SLC3A2_SLC7A5,SLC3A2,SLC7A5,P08195,Q01650,100,100,100,15.09,15.67,11.68,47.41,49.52,48.14,53.2,44.13,43.18,20.51,21.65,14.69
BSG_SPINT2,BSG,SPINT2,P35613,O43291,100,100,100,55.43,48.98,38.77,42.58,29.47,32.84,52.8,57.99,50.74,64.3,63.09,45.65
CD44_SPINT2,CD44,SPINT2,P16070,O43291,100,100,100,88.47,95.66,59.03,100.18,96.62,68.85,37.08,29.99,30.92,83.8,79.51,77.81
CD44_SRC,CD44,SRC,P16070,P12931,100,100,100,82.71,90.16,81.06,54.68,36.03,48.41,39.26,35.87,26.17,36.7,38.32,32.94
EGFR_SRC,EGFR,SRC,P00533,P12931,100,100,100,61.17,40.36,41.94,70.55,70.74,64.38,62.69,63.59,56.11,58.94,64.71,56.58
BSG_STEAP3,BSG,STEAP3,P35613,Q658P3,100,100,100,62.67,65.12,65.09,35.58,29.34,35.67,29.38,19.15,25.56,78.95,75.2,79.77
BSG_SURF4,BSG,SURF4,P35613,O15260,100,100,100,50.43,61.05,41.1,74.3,80.34,62.93,77.31,58.43,70.95,73.69,68.17,87.95
CD44_SURF4,CD44,SURF4,P16070,O15260,100,100,100,88.57,96.32,72.77,42.17,36.52,41.67,45.78,36.95,45.77,59.21,49.75,50.19
BSG_SYMPK,BSG,SYMPK,P35613,Q92797,100,100,100,48.85,34.61,45.16,70.16,61.71,52.83,171.54,157.24,153.69,203.08,174.67,212.57
EGFR_TGM1,EGFR,TGM1,P00533,P22735,100,100,100,190.06,126.82,169.22,87.13,79.86,90.46,73.85,51.79,72.63,100.68,82.45,84.94
CD44_TMED1,CD44,TMED1,P16070,Q13445,100,100,100,67.68,73.92,69.61,45.1,48.76,31.23,51.55,47.65,45.03,63.13,43.41,68.57
BSG_TMED10,BSG,TMED10,P35613,P49755,100,100,100,137.34,100.92,148.32,103.14,72.51,103.26,133.45,127.32,105.11,129.64,101.6,133.33
EGFR_TMED10,EGFR,TMED10,P00533,P49755,100,100,100,175.3,158.29,119.33,207.83,183.39,161.68,225.31,241.46,230.2,197.72,146.64,160.34
EGFR_TNFRSF10B,EGFR,TNFRSF10B,P00533,O14763,100,100,100,44.2,45.9,46.12,32.46,44.66,30.99,41.49,43,38.71,35.1,33.6,33.19
SLC3A2_TNFRSF10B,SLC3A2,TNFRSF10B,P08195,O14763,100,100,100,285.15,252.38,295.09,196.15,132.9,146.15,156.95,129.53,109.09,255.56,259.81,201.02
BSG_TUBB,BSG,TUBB,P35613,P07437,100,100,100,51.25,38.93,54.59,62.52,61.44,68.17,44.4,30.89,44.15,43.67,46.45,34.36
BSG_TUFM,BSG,TUFM,P35613,P49411,100,100,100,87.73,96.84,74.96,85.6,107.66,91.98,93.31,100.57,91.58,81.61,101.59,89.35
CD44_TUFM,CD44,TUFM,P16070,P49411,100,100,100,126.23,111.82,129.36,123.97,125.35,109.53,78.75,65.77,72.9,63.92,43.26,47.02
BSG_VDAC1,BSG,VDAC1,P35613,P21796,100,100,100,71.78,54.47,71.09,188.6,201.12,138.9,125.31,104.36,96.76,115.36,87.82,122.53
EGFR_VDAC1,EGFR,VDAC1,P00533,P21796,100,100,100,112.75,130.04,127.88,169.87,132.53,116.62,207.02,185.35,230.91,212.95,173.01,199.07
SLC3A2_VDAC1,SLC3A2,VDAC1,P08195,P21796,100,100,100,133.07,112.75,90.68,98.14,106.23,89.65,192.79,210.26,144.99,239.33,211.69,254.12
BSG_VIM,BSG,VIM,P35613,P08670,100,100,100,32.32,25.84,21.02,77.93,53.66,56.53,37.42,36.92,29.27,36.23,35.14,24.53
BSG_VMP1,BSG,VMP1,P35613,Q96GC9,100,100,100,32.27,42.22,30.05,23.86,43.64,33.04,24.87,40.88,32.76,21.59,31.64,24.46
BSG_WLS,BSG,WLS,P35613,Q5T9L3,100,100,100,65.35,59.23,65.03,46.34,36.49,36.99,51.38,46.2,50.13,55.33,59.17,52.98
EGFR_XP32,EGFR,XP32,P00533,Q5T750,100,100,100,331.09,224.96,299.76,154.22,160.28,137.84,301.89,242.72,253.33,214.24,219.19,139.27
