Total 156 Interactions,,,,,Normalized by Bait (per sample),,,,,,,,,,,,,,,Relative to HM (by Rep.),,,,,,,,,,,,,,
Pair,Bait,Prey,BaitID,PreyID,HM_1,HM_2,HM_3,Neu_1,Neu_2,Neu_3,F_1,F_2,F_3,S_1,S_2,S_3,FS_1,FS_2,FS_3,HM_1,HM_2,HM_3,Neu_1,Neu_2,Neu_3,F_1,F_2,F_3,S_1,S_2,S_3,FS_1,FS_2,FS_3
SLC3A2_TNFRSF10B,SLC3A2,TNFRSF10B,P08195,O14763,4398.41211,6758.81997,2633.1446,12541.92127,17057.93536,7770.061598,8627.624212,8982.713133,3848.335414,6903.317439,8754.44992,2872.492684,11240.41208,17560.16767,5293.092026,100,100,100,285.15,252.38,295.09,196.15,132.9,146.15,156.95,129.53,109.09,255.56,259.81,201.02
BSG_TUBB,BSG,TUBB,P35613,P07437,2045744.38,3362835.52,1374891.61,1048490.556,1309141.486,750529.7731,1278938.239,2066120.86,937278.0397,908412.4769,1038910.368,606954.9685,893419.738,1562143.031,472435.4834,100,100,100,51.25,38.93,54.59,62.52,61.44,68.17,44.4,30.89,44.15,43.67,46.45,34.36
BSG_TUFM,BSG,TUFM,P35613,P49411,412016.219,511744.745,279156.233,361461.8289,495573.6111,209267.3234,352682.2614,550955.7579,256755.0712,384457.9015,514638.0257,255657.6763,336258.0045,519875.2365,249412.3641,100,100,100,87.73,96.84,74.96,85.6,107.66,91.98,93.31,100.57,91.58,81.61,101.59,89.35
CD44_TUFM,CD44,TUFM,P16070,P49411,1269341,1218605.44,1413734.89,1602318.035,1362648.71,1828758.324,1573660.694,1527561.143,1548503.656,999546.3315,801501.2764,1030579.803,811372.8026,527188.1023,664740.0335,100,100,100,126.23,111.82,129.36,123.97,125.35,109.53,78.75,65.77,72.9,63.92,43.26,47.02
BSG_VDAC1,BSG,VDAC1,P35613,P21796,21010.1133,20519.7372,11602.1207,15082.07298,11176.13642,8248.191371,39625.99014,41269.32572,16115.73322,26327.66246,21414.96046,11225.80096,24236.88201,18020.16918,14215.54155,100,100,100,71.78,54.47,71.09,188.6,201.12,138.9,125.31,104.36,96.76,115.36,87.82,122.53
EGFR_VDAC1,EGFR,VDAC1,P00533,P21796,7135.08203,6148.44289,7674.9152,8045.047439,7995.15544,9815.060512,12120.53081,8148.279648,8950.674723,14771.1537,11396.40766,17722.44899,15194.28219,10637.71497,15278.73661,100,100,100,112.75,130.04,127.88,169.87,132.53,116.62,207.02,185.35,230.91,212.95,173.01,199.07
SLC3A2_VDAC1,SLC3A2,VDAC1,P08195,P21796,9039.62793,8895.17468,5496.04858,12029.19885,10028.99312,4984.0622,8871.912585,9449.624194,4927.016375,17427.46994,18703.36243,7968.794271,21634.25705,18829.92796,13966.80225,100,100,100,133.07,112.75,90.68,98.14,106.23,89.65,192.79,210.26,144.99,239.33,211.69,254.12
BSG_VIM,BSG,VIM,P35613,P08670,9477566,15896247.6,9372004.87,3063164.476,4107944.893,1970364.751,7385805.845,8530392.482,5297551.691,3546138.273,5869309.469,2742929.958,3433844.1,5586632.576,2299193.324,100,100,100,32.32,25.84,21.02,77.93,53.66,56.53,37.42,36.92,29.27,36.23,35.14,24.53
BSG_VMP1,BSG,VMP1,P35613,Q96GC9,137024.25,217824.71,115623.255,44222.17228,91957.83119,34748.56129,32690.45635,95053.87276,38204.28418,34072.48591,89036.05237,37876.32201,29589.18561,68918.31947,28280.64848,100,100,100,32.27,42.22,30.05,23.86,43.64,33.04,24.87,40.88,32.76,21.59,31.64,24.46
BSG_WLS,BSG,WLS,P35613,Q5T9L3,23755.9609,30174.584,19536.0471,15525.10869,17871.69463,12704.73081,11008.75162,11011.77491,7226.71774,12204.87392,13939.70091,9792.652439,13144.78001,17855.76394,10350.70196,100,100,100,65.35,59.23,65.03,46.34,36.49,36.99,51.38,46.2,50.13,55.33,59.17,52.98
EGFR_XP32,EGFR,XP32,P00533,Q5T750,12349.1641,12308.9058,7531.55758,40887.17047,27689.81501,22576.94591,19044.942,19729.26133,10381.55442,37281.02611,29876.22987,19079.83853,26457.43365,26980.09297,10488.86161,100,100,100,331.09,224.96,299.76,154.22,160.28,137.84,301.89,242.72,253.33,214.24,219.19,139.27
