ROW_NAMES,Independent,HM_Enhanced,Neu_Enhanced,F_Enhanced,S_Enhanced,FS_Enhanced,HM_suppressed,Neu_suppressed,F_suppressed,S_suppressed,FS_suppressed
EGFR_EBP,,HM_Up,,,,,,,,,
EGFR_EHD4,Independent,,,,,,,,,,
EGFR_EPCAM,,,Neu_Up,,,,,,,,
EGFR_GLG1,,,,,S_Up,FS_Up,,Neu_Down,F_Down,,
EGFR_GNA11,Independent,,,,,,,,,,
EGFR_HAX1,,HM_Up,,,,,,,,,
EGFR_HM13,,,Neu_Up,,,,,,,S_Down,
EGFR_HSPB1,,HM_Up,,,,,,,,,
EGFR_ITGB1,,HM_Up,,,,,,,,,
EGFR_LAMP1,Independent,,,,,,,,,,
EGFR_MAP2K2,,HM_Up,Neu_Up,,,,,,,S_Down,
EGFR_NAMPT,,,Neu_Up,,,,,,F_Down,,
EGFR_NDUFS1,,,Neu_Up,F_Up,,,HM_Down,,,,
EGFR_PFKP,,,Neu_Up,,,,,,,,
EGFR_PGRMC1,,,,,,FS_Up,,,,,
EGFR_PHB1,,,Neu_Up,,,,,,,,
EGFR_S100A9,,,Neu_Up,,,FS_Up,HM_Down,,F_Down,,
EGFR_SAMHD1,,,,,,,HM_Down,,,,
EGFR_SLC12A2,,HM_Up,,,,,,,,,
EGFR_SLC25A11,,,Neu_Up,,,,,,,,
EGFR_SLC25A3,,,Neu_Up,,,,,,,,
EGFR_SLC25A4,Independent,,,,,,,,,,
EGFR_SLC25A5,,,,,S_Up,,,,,,
EGFR_SLC26A6,,,Neu_Up,,,,,,,S_Down,
EGFR_SLC7A1,,,Neu_Up,,,,,,,,
EGFR_SLC7A5,Independent,,,,,,,,,,
EGFR_SRC,,HM_Up,,,,,,,,,
EGFR_TGM1,,,Neu_Up,,,,,,,S_Down,
EGFR_TMED10,,,,F_Up,S_Up,,HM_Down,Neu_Down,,,
EGFR_TNFRSF10B,,HM_Up,,,,,,,,,
EGFR_VDAC1,,,,,S_Up,FS_Up,HM_Down,Neu_Down,,,
EGFR_XP32,,,Neu_Up,,S_Up,,HM_Down,,F_Down,,
SLC3A2_ARF4,,HM_Up,,,,,,,,,
SLC3A2_ARF5,,HM_Up,,,,,,,,,
SLC3A2_ATP1A1,Independent,,,,,,,,,,
SLC3A2_ATP2A2,Independent,,,,,,,,,,
SLC3A2_CDCP1,,,Neu_Up,,S_Up,,HM_Down,,,,
SLC3A2_COG3,,,,F_Up,,FS_Up,HM_Down,,,S_Down,
SLC3A2_EHD4,,,,,S_Up,FS_Up,HM_Down,Neu_Down,,,
SLC3A2_EPCAM,,,Neu_Up,,,,,,,,
SLC3A2_ITGB1,Independent,,,,,,,,,,
SLC3A2_LAMP1,,,,,,FS_Up,,,,,
SLC3A2_PHB1,,HM_Up,,,,,,,,,
SLC3A2_SLC16A3,,,,F_Up,S_Up,FS_Up,HM_Down,Neu_Down,,,
SLC3A2_SLC25A4,,,Neu_Up,,,,,,,,
SLC3A2_SLC25A5,Independent,,,,,,,,,,
SLC3A2_SLC7A5,,HM_Up,,,,,,,,,
SLC3A2_TNFRSF10B,,,Neu_Up,,,FS_Up,HM_Down,,,S_Down,
SLC3A2_VDAC1,,,,,S_Up,FS_Up,HM_Down,Neu_Down,F_Down,,
